,mean_freq,mean_dm,sigma,ra,dec,best_ra,best_dec,ncands,std_ra,std_dec,delta_ra,delta_dec,file_name,plot_path,known_source_label,known_source_likelihood,known_source_name,known_source_p0,known_source_dm,known_source_ra,known_source_dec
0,0.39062840833883605,0.0,41.55549240112305,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
1,0.44643101123463175,0.0,39.32155990600586,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
2,0.5,0.0,38.13349914550781,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
3,0.31248490693006176,0.0,37.52714538574219,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
4,0.3124731363670464,0.0,35.802005767822266,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
5,0.44640645709931637,0.0,35.54706573486328,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
6,0.3906165228520613,0.0,35.09950256347656,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
7,0.3472132583482732,0.0,32.019126892089844,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
8,0.312496677493077,0.0,31.839906692504883,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
9,0.45454545454545453,0.0,31.420452117919922,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
10,0.48078378376349995,0.0,29.72250747680664,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
11,0.4629579555219055,0.0,29.114501953125,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
12,0.4807719008227248,0.0,27.753393173217773,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
13,0.4166638288323063,0.0,27.464784622192383,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
14,0.28409126854195277,0.0,27.02995491027832,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
15,0.48076001788194966,0.0,26.918134689331055,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
16,0.2604103957761558,0.0,25.727148056030273,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
17,0.26042251916515846,0.0,25.67315673828125,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
18,0.22321257321802604,0.0,25.494823455810547,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
19,0.2232241087515257,0.0,24.570877075195312,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
20,0.24037497673491445,0.0,22.19422721862793,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
21,0.3289460365712584,0.0,21.57771110534668,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
22,0.4310312166121444,0.0,21.037975311279297,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
23,0.29761742216514075,0.0,20.870914459228516,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
24,0.32893488132042514,0.0,20.62037467956543,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
25,0.3676486250170567,0.0,20.26361846923828,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
26,0.2717285544219752,0.0,19.972009658813477,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
27,0.24038623604339424,0.0,19.66193389892578,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
28,0.4032303416130298,0.0,18.905057907104492,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
29,0.19532143843782704,0.0,18.567533493041992,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
30,0.19531021887102606,0.0,18.420509338378906,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
31,0.17358943726475815,0.0,17.89599609375,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
32,0.17361410712012157,0.0,17.609540939331055,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
33,0.29759490353901696,0.0,17.208345413208008,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
34,0.4166752646448171,0.0,17.13887596130371,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
35,0.37878258310382823,0.0,16.78863525390625,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
36,0.14880285996000137,0.0,16.56730842590332,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
37,0.1562430904702444,0.0,16.529672622680664,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
38,0.20832955651208168,0.0,15.81788158416748,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
39,0.23149035600327902,0.0,15.739592552185059,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
40,0.17360177219243986,0.0,15.117642402648926,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
41,0.43859618515963006,0.0,15.00283432006836,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
42,0.36765985744579455,0.0,14.920859336853027,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
43,0.35713653189463185,0.0,14.658934593200684,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
44,0.34722501394342314,0.0,14.524843215942383,301.12,31.53,301.12,31.53,1,0,0,0,0,,,0,,,,,,
