,mean_freq,mean_dm,sigma,ra,dec,best_ra,best_dec,ncands,std_ra,std_dec,delta_ra,delta_dec,file_name,plot_path,known_source_label,known_source_likelihood,known_source_name,known_source_p0,known_source_dm,known_source_ra,known_source_dec
0,0.5,0.0,1,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
1,0.3906200121692796,0.0,2,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
2,0.39062911710639603,0.0,1,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
3,0.34721083451422163,0.0,1,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
4,0.34721083451422163,0.0,2,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
5,0.34721986329606364,0.0,3,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
6,0.2899770797008793,0.0,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
7,0.39060180229504665,0.8095834648570892,2,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
8,0.28995843825060763,2.428750394571268,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
9,0.41314814235338,63.957093723710045,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
10,0.4131134218338217,64.76667718856713,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
11,0.4131134218338217,65.57626065342423,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
12,0.4131134218338217,66.38584411828131,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
13,0.413087381444153,66.38584411828131,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
14,0.4131134218338217,67.19542758313841,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
15,0.41306134105448444,68.00501104799548,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
16,0.4131134218338217,68.00501104799548,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
17,0.41305266092459486,68.81459451285258,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
18,0.4131134218338217,68.81459451285258,6,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
19,0.4131134218338217,68.81459451285258,4,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
20,0.4130353006648157,69.62417797770968,9,120.04,50.15,120.04,50.15,1,0,0,0,0,,,0,,,,,,
